DATE,CBR40143OKA647NCEN
1989-01-01,27107
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,48476
1994-01-01,.
1995-01-01,49608
1996-01-01,.
1997-01-01,35664
1998-01-01,33503
1999-01-01,29431
2000-01-01,29539
2001-01-01,34039
2002-01-01,46405
2003-01-01,56783
2004-01-01,58904
2005-01-01,59778
2006-01-01,58750
2007-01-01,58750
2008-01-01,61879
2009-01-01,78255
2010-01-01,87042
2011-01-01,89226
2012-01-01,85016
2013-01-01,86676
2014-01-01,84801
2015-01-01,89062
2016-01-01,84881
2017-01-01,78854
